Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,"02 Jun, 2026","03 Jun, 2026","04 Jun, 2026","05 Jun, 2026","06 Jun, 2026","07 Jun, 2026","08 Jun, 2026","09 Jun, 2026","10 Jun, 2026","11 Jun, 2026","12 Jun, 2026","13 Jun, 2026","14 Jun, 2026","15 Jun, 2026","16 Jun, 2026","17 Jun, 2026","18 Jun, 2026","19 Jun, 2026","20 Jun, 2026","21 Jun, 2026","22 Jun, 2026","23 Jun, 2026","24 Jun, 2026","25 Jun, 2026","26 Jun, 2026","27 Jun, 2026","28 Jun, 2026","29 Jun, 2026","30 Jun, 2026","01 Jul, 2026"
19461401,Alpha Biryani,Whitefield,Bengaluru,Sales,Delivered orders,5,2,1,0,0,3,2,1,1,1,1,2,4,3,8,5,7,6,12,9,6,8,10,7,7,8,7,8,6,6
19461401,Alpha Biryani,Whitefield,Bengaluru,Sales,Sales (Rs),2032,1114,238,0,0,1029,612,168,442,386,568,476,2035,1123.4000244140625,1869.5,1192.800048828125,1268.5999755859375,2541.669921875,1998.800048828125,2680.39990234375,1485.6300048828125,1867.969970703125,2283.400146484375,1595.4000244140625,1940.800048828125,1946.4000244140625,1909.800048828125,1879,2160.39990234375,1088
19461401,Alpha Biryani,Whitefield,Bengaluru,Sales,Market share (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19461401,Alpha Biryani,Whitefield,Bengaluru,Customer experience,Average rating,3.717099905014038,3.723299980163574,3.723400115966797,3.7228000164031982,3.722399950027466,3.726099967956543,3.7260000705718994,3.7256999015808105,3.725600004196167,3.7251999378204346,3.724600076675415,3.7244999408721924,3.72379994392395,3.728800058364868,3.7286999225616455,3.7288999557495117,3.7279000282287598,3.72760009765625,3.7286999225616455,3.7283999919891357,3.7399001121520996,3.7421998977661133,3.7353999614715576,3.7374000549316406,3.7367000579833984,3.732100009918213,3.7295000553131104,3.7400999069213867,3.745800018310547,3.7513999938964844
19461401,Alpha Biryani,Whitefield,Bengaluru,Customer experience,Rated orders,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4,4,2,0,1,2,1,1,1,0,2,0
19461401,Alpha Biryani,Whitefield,Bengaluru,Customer experience,Bad orders,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,1,3,3,2,0,2,1,1,0,0,1,1,0
19461401,Alpha Biryani,Whitefield,Bengaluru,Customer experience,Rejected orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19461401,Alpha Biryani,Whitefield,Bengaluru,Customer experience,KPT+10 delayed orders,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,1,2,1,0,1,0,1,0,0,0,1,0
19461401,Alpha Biryani,Whitefield,Bengaluru,Customer experience,Poor rated orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
19461401,Alpha Biryani,Whitefield,Bengaluru,Customer experience,Total complaints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
